date	aysa	edenor	metrogas	m3C	kWhC
20173	731.976	76.671	716.849	2.722146	0.556
20172	0	73.962	182.553	0.6657342	0.556
20171	731.976	132.433	182.553	0.6657342	0.448
201612	0	124.194	0	1	0.448
201611	816.123	131.306	1	0	0.448
201610	0	127.253	0	1	0.448
20169	731.976	154.896	1	0	0.448
20168	0	149.807	0	1	0.448
20167	731.976	154.896	1	0	0.468
20166	0	156.891	813.785	0.448	0.469
20165	816.123	206.941	0	0	0.469
20164	0	206.941	188.083	0.6657342	0.469
20163	231.175	0	0	0	0
20162	0	157.563	249.277	1	0.3615
20161	231.175	0	0	0	0
201512	0	246.568	369.187	1	0.366
201511	257.733	0	0	0	0
201510	0	265.727	285.572	0.6657342	0.365
20159	231.175	0	0	0	0
20158	0	282.751	453.054	1	0.365
20157	231.175	0	0	0	0
20156	0	263.459	248.122	0.644435	0.366
20155	257.733	0	0	0	0
20154	0	261.842	246.673	1	0.367
20153	231.175	0	0	0	0
20152	0	287.035	244.314	1	0.408
20151	231.175	0	0	0	0
201412	0	228.137	366.73	1	0.366
201411	257.733	0	0	0	0
201410	0	282.527	405.657	1	0.366
20149	231.175	0	0	0	0
20148	0	286.993	333.501	0.771082	0.366
20147	231.175	0	0	0	0
20146	0	279.342	167.895	0.487434	0.366
20145	188.125	0	0	0	0
20144	0	296.212	78.519	0.197401	0.366
20143	168.735	0	0	0	0
20142	0	340.144	72.772	0.197401	0.366
20141	168.735	0	0	0	0
201312	0	343.938	95.515	0.197401	0.366
201311	188.125	0	0	0	0
201310	0	288.813	99.876	0.197401	0.366
20139	168.735	0	0	0	0
20138	0	274.33	107.03	0.197401	0.366
20137	168.735	0	0	0	0
20136	0	266.035	93.198	0.197401	0.366
20135	188.125	0	0	0	0
20134	0	240.38	74.011	0.197401	0.366
20133	168.133	0	0	0	0
20132	0	217.609	73.885	0.197401	0.366
20131	168.133	0	0	0	0